mean,std,skw,kur,num_n_pks,num_p_pks,mean_pk_width,mean_pk_height,max_pk_width,max_pk_height,min_pk_width,min_pk_height
5.86E-05,0.333035557,2.86334126,902.351125,79,90,78.63747466,7.275077404,8560.638912,18.37755284,0.50513239,5.007241646
7.10E-05,0.103301562,13.5729447,10486.86934,22,22,1969.677285,7.807555481,36261.24343,15.97522343,0.601455786,5.07520168
5.33E-05,0.354152718,-3.874574641,638.4435346,69,59,129.474354,7.699690811,7334.17099,20.61506038,0.549652722,5.045977019
-5.03E-07,0.513786318,0.231990288,1501.177376,80,108,185.0474952,7.798528424,22345.14351,21.10247136,0.5465116,5.002707946
7.05E-05,0.40211064,0.960300383,266.5666319,51,41,554.8680634,7.16903622,41702.24023,20.04302873,0.554583714,5.033773825
0.000106744,0.580440181,0.897698858,447.2988002,94,95,106.8180834,7.538870628,11859.41404,21.02823466,0.617217786,5.01255655
-0.00012729,0.423637822,-0.891713354,553.1315746,7,7,2234.832576,8.769054815,28411.42867,14.96200082,0.513588995,5.081669702
-0.000182625,0.451946928,0.628732035,106.3005803,11,16,1076.283731,9.658305194,28424.25762,17.32758538,0.633333713,5.209074871
-5.19E-05,0.209378899,-0.671760631,705.0900808,8,8,2297.517713,8.03054347,36742.96025,10.91318713,0.798631732,5.597317651
-1.82E-05,2.915851074,-0.915958572,638.4640538,517,510,67.46314308,6.847019283,1124.789691,95.9510695,0.504105793,5.000011335
-0.000188555,1.766427695,-0.574191371,294.440502,513,483,73.27375673,6.994864622,1069.940685,93.09955322,0.501323824,5.002169916
-0.000102795,2.51814188,1.739547065,1055.710703,218,250,82.63644292,7.350476188,1807.169334,95.22285779,0.515374355,5.004220306
8.95E-07,0.511804781,10.46500833,14113.29682,64,67,92.55820301,7.285259199,9744.449199,20.12699665,0.811306614,5.002650377
-0.000102357,0.492694543,1.778174259,2468.318836,40,26,14.87844157,8.054292975,747.1737411,21.09381782,0.697344974,5.03242249
-1.22E-06,0.631831144,-3.869622689,8456.64396,52,68,160.9943821,8.297805611,9690.733359,29.53209271,0.643932398,5.009687352
4.42E-05,0.151324947,-3.212484451,2282.194723,14,11,1.918095861,6.999544472,18.27739865,9.774080035,0.516095999,5.100137248
0.000102359,0.275123502,5.775977769,618.6033281,4,8,47.94822453,10.64340786,548.4955003,19.26781904,0.730336417,5.122811578
1.81E-05,0.188619706,-2.021729262,1428.097817,28,24,1.617865023,7.355319247,18.75331339,12.55576632,0.528138012,5.211408047
9.25E-05,0.861387691,1.211280571,2073.892752,10,12,151.4804943,9.421602653,1364.775476,21.20216396,0.766729001,5.004362861
-1.70E-05,0.732079834,-1.581190963,1349.085929,41,26,80.29948173,6.766627348,2602.827818,10.77235141,0.609186101,5.046151566
-4.21E-05,0.455293316,-1.575339664,2702.601434,13,10,5398.209977,10.54205233,64539.38729,34.62126897,0.550878227,5.076696637
0.000179281,1.543277564,-0.021478787,3.799537336,538,530,57.08629413,6.401350506,914.598042,12.51654159,0.500130807,5.000297118
-0.000141739,1.51672624,0.070855747,5.445513518,477,504,79.43932607,6.322256926,1159.759157,23.85542708,0.501961544,5.000900696
-0.000160319,1.160177731,-0.066310449,7.287973633,209,235,103.6676168,6.061022618,1106.406957,14.44081293,0.512097279,5.001731198
-3.86E-05,0.507331935,-1.585225936,1039.482325,73,79,79.23988105,7.572640116,8055.804523,20.44274128,0.503559185,5.005152301
9.41E-05,0.429399756,9.071676449,2233.448349,49,44,216.564819,7.490227111,7622.964321,14.62861596,0.548291106,5.01244203
-0.000167883,0.486916386,-14.16524109,14886.95333,56,56,838.6733198,7.68376092,47003.37789,26.78052578,0.855649214,5.085913218
-1.96E-05,0.506459703,-1.044286541,108.3149063,47,54,42.41737701,7.055628983,1345.605072,18.84427111,0.533918963,5.001039463
2.38E-05,0.413939982,-0.021204189,6.311708324,10,9,2.510031026,7.189313411,7.236483452,11.18939787,1.416578286,5.136734486
8.87E-05,0.517118743,0.658235035,37.56101162,43,41,21.83694338,6.939049091,784.5870394,16.32376228,0.581754588,5.060926763
7.31E-05,0.957369072,0.104808603,3.140746068,13,9,133.9062616,8.31324151,1230.111309,17.06698866,0.678677614,5.054134219
6.62E-05,0.91125766,-0.017808205,9.706084731,8,12,26.00627592,7.948941195,451.4725845,11.72451073,1.141552414,5.195750519
-2.64E-05,0.478877816,-0.927389959,78.75070307,7,4,161.6018968,10.33530234,1203.470459,17.70611593,0.550990833,5.037700079
0.000120922,1.218376222,-0.194360877,5.708523649,82,73,60.67903332,7.592652168,7077.828885,18.39749403,0.71836103,5.004595007
0.00020946,1.123439023,-0.01513214,4.161188135,168,152,94.97149785,7.873965214,6440.768436,20.1358102,0.537710595,5.005070396
6.33E-05,0.822766807,-0.438630556,22.66612786,60,85,189.9025038,7.379208451,9934.350452,21.01448128,0.513416166,5.009790107
